"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.418567417E0,-1.392660588E-3,2.901125282E-2,-1.172056836E-1,1.207508367E-1
1.428543417E0,-8.951210082E-3,2.825666964E-3,-9.475120604E-2,9.521501773E-2
1.438519417E0,-2.204604954E-2,-1.181225270E-2,-3.382146478E-2,4.206482014E-2
1.448494417E0,-4.512252465E-2,-2.079533011E-2,1.028291345E-2,5.073683370E-2
1.458470417E0,-6.733887434E-2,-6.348029673E-3,-1.652540088E-2,6.962693697E-2
1.468446417E0,-9.274911940E-2,-2.052080333E-3,-2.505999684E-2,9.609689706E-2
1.478422417E0,-7.788242742E-2,6.728098691E-3,-3.513474941E-2,8.570525322E-2
1.488398417E0,-1.895448044E-2,1.155526757E-2,-6.907491267E-2,7.255439406E-2
1.498374417E0,2.323040307E-2,1.776354879E-2,-1.376177287E-1,1.406905631E-1
1.508350417E0,6.169338763E-2,2.284390211E-2,-1.962851822E-1,2.070164020E-1
1.518325417E0,6.576158792E-2,3.842702419E-2,-2.172445267E-1,2.302094851E-1
1.528301417E0,3.854835391E-2,4.389680207E-2,-1.682904679E-1,1.781420399E-1
1.538277417E0,4.249960989E-2,4.162457407E-2,-1.366026521E-1,1.489936460E-1
1.548253417E0,4.130180776E-2,2.466823339E-2,-1.647102177E-1,1.715920070E-1
1.558229417E0,8.375537083E-2,3.783733249E-2,-1.692716306E-1,1.926123330E-1
1.568205417E0,1.257056348E-1,8.146340847E-3,-1.855613887E-1,2.242795097E-1
1.578181417E0,1.265067033E-1,-6.051868200E-5,-1.684881037E-1,2.106945437E-1
1.588157417E0,1.035325545E-1,-1.251596510E-3,-5.084504843E-2,1.153506623E-1
1.598132417E0,1.099163984E-1,7.724756598E-3,5.480595231E-2,1.230649378E-1
1.608108417E0,9.797068298E-2,-1.199497819E-2,7.161318898E-2,1.219450001E-1
1.618084417E0,8.527930140E-2,-1.537963897E-2,9.646151662E-3,8.719025625E-2
1.628060417E0,8.144323558E-2,-1.663503617E-2,-4.646197557E-3,8.325450259E-2
1.638036417E0,7.633715451E-2,-3.661380261E-2,1.109684587E-2,8.538777247E-2
1.648012417E0,7.273556203E-2,-3.284936517E-2,4.384651601E-2,9.106074754E-2
1.657988417E0,8.735345498E-2,-3.532302976E-3,7.384682536E-2,1.144397522E-1
1.667963417E0,6.365483612E-2,5.666536689E-3,7.140970588E-2,9.583002605E-2
1.677939417E0,4.309295610E-2,5.018957555E-3,1.016164219E-1,1.104902258E-1
1.687915417E0,5.576738074E-2,3.685792387E-2,8.105234921E-2,1.050618419E-1
1.697891417E0,3.612044379E-2,5.079856306E-2,1.020689964E-2,6.316139065E-2
1.707867417E0,2.660336941E-2,3.309904128E-2,-1.225225568E-2,4.419732534E-2
1.717843417E0,3.003539264E-2,3.177727818E-2,-5.643791020E-2,7.139438303E-2
1.727818417E0,1.478351533E-2,3.093703330E-2,-5.758688807E-2,6.702165346E-2
1.737794417E0,1.768782735E-5,4.083607703E-2,-2.008460104E-2,4.550798501E-2
1.747770417E0,-3.085210249E-2,2.848617285E-2,7.691544414E-2,8.763161426E-2
1.757746417E0,-4.871271506E-2,4.618452519E-2,7.615004361E-2,1.015124038E-1
1.767722417E0,-3.021914139E-2,6.788441956E-2,3.146328270E-2,8.069342652E-2
1.777698417E0,-2.773144349E-2,9.972718656E-2,-1.518463433E-2,1.046189171E-1
1.787674417E0,8.687939197E-3,9.977221012E-2,-6.329493999E-2,1.184745695E-1
1.797650417E0,1.673926279E-2,6.575807959E-2,-1.182535046E-1,1.363386200E-1
1.807625417E0,1.660463065E-2,3.453628689E-2,-6.704826772E-2,7.722654385E-2
1.817601417E0,3.820044458E-2,3.241374761E-2,4.066738486E-2,6.452721280E-2
1.827577417E0,3.318762660E-2,4.672510028E-2,1.563545465E-1,1.665274685E-1
1.837553417E0,-4.060452729E-3,4.392399162E-2,1.516288269E-1,1.579148677E-1
1.847529417E0,-1.134769142E-2,2.733777970E-2,8.600260198E-2,9.095367968E-2
1.857505417E0,-2.131573230E-2,2.643058419E-2,-1.391929686E-2,3.669718040E-2
1.867480417E0,-4.305816516E-2,1.992409497E-2,-8.739073098E-2,9.943900145E-2
1.877456417E0,-4.836144358E-2,1.577257186E-2,-6.152674198E-2,7.983196870E-2
1.887432417E0,-1.807315886E-2,-7.816265523E-3,-3.680237532E-2,4.173904535E-2
1.897408417E0,3.854645357E-2,8.999157250E-3,8.032320142E-3,4.038975217E-2
1.907384417E0,5.954395115E-2,7.733819783E-3,4.435113072E-2,7.464795298E-2
1.917360417E0,4.172397673E-2,7.160207927E-3,2.855487764E-2,5.106407591E-2
1.927336000E0,1.189630643E-2,9.090081453E-3,-2.879929125E-2,3.245844827E-2
1.937311000E0,9.294003099E-3,-2.800816298E-4,-3.188954473E-2,3.321746532E-2
1.947287000E0,4.918575481E-2,-1.470896333E-2,-1.106000841E-2,5.251586298E-2
1.957263000E0,4.551691934E-2,-2.879607528E-2,-2.808066845E-2,6.074148367E-2
1.967239000E0,2.074796766E-2,-1.844796538E-2,8.788365126E-3,2.912114267E-2
1.977215000E0,1.639033020E-2,-1.468382031E-2,2.813446283E-2,3.571841964E-2
1.987191000E0,3.823786676E-2,-2.299622208E-2,2.061962128E-2,4.915413986E-2
1.997167000E0,5.958619729E-2,-1.646283567E-2,-3.810455024E-2,7.261884476E-2
2.007142000E0,8.750928327E-2,1.286445916E-2,-1.297198945E-1,1.570051592E-1
2.017118000E0,6.390743583E-2,1.684290469E-2,-1.859794647E-1,1.973732633E-1
2.027094000E0,5.224925727E-2,3.080897927E-2,-1.328732979E-1,1.460633130E-1
2.037070000E0,7.409021571E-2,3.192316622E-2,-7.724581182E-2,1.116931692E-1
2.047046000E0,9.803719506E-2,2.664868534E-2,-2.252990663E-2,1.040626770E-1
2.057022000E0,9.325183377E-2,2.050063044E-2,-2.157973409E-2,9.788700257E-2
2.066998000E0,9.779497415E-2,1.963114947E-2,-4.954638183E-2,1.113736187E-1
2.076973000E0,7.625865564E-2,1.691774905E-2,-5.000655770E-2,9.274830783E-2
2.086949000E0,2.316886112E-2,2.128444970E-2,-2.156570077E-2,3.814319565E-2
2.096925000E0,5.316098437E-2,3.727980047E-2,-3.860156357E-2,7.553776865E-2
2.106901000E0,5.289961383E-2,1.194732338E-2,-4.418331563E-2,6.995193392E-2
2.116877000E0,5.311493754E-2,3.207782507E-3,-2.949335575E-3,5.329338645E-2
2.126853000E0,7.145546034E-2,5.785819888E-4,8.508283496E-3,7.196254899E-2
2.136829000E0,5.260052875E-2,-9.554642737E-3,2.172883809E-2,5.770831159E-2
2.146804000E0,2.688549757E-2,-7.887309194E-3,2.331635714E-2,3.645122955E-2
2.156780000E0,3.324697584E-2,-1.526240230E-2,-2.926648378E-2,4.684900639E-2
2.166756000E0,4.425640583E-2,-1.996794909E-2,-7.842285633E-2,9.223607127E-2
2.176732000E0,-1.359857708E-2,-1.075039834E-2,-5.877679646E-2,6.127972067E-2
2.186708000E0,-5.246209592E-2,-6.620802283E-3,-3.636968136E-2,6.417834723E-2
2.196684000E0,-5.288148746E-2,-2.689426839E-3,-6.189862490E-2,8.145627353E-2
2.206660000E0,-3.325823173E-2,9.860744476E-3,-4.042063236E-2,5.326510847E-2
2.216635000E0,-4.749400914E-4,1.015310526E-2,-2.666739643E-2,2.853876568E-2
2.226611000E0,2.262945548E-2,-5.088539422E-3,-4.084280133E-2,4.696935074E-2
2.236587000E0,1.354580596E-2,-1.104685217E-2,-6.009592831E-2,6.258627966E-2
2.246563000E0,-9.100460261E-3,2.895833552E-3,-5.274071574E-2,5.359838921E-2
2.256539000E0,-2.736643106E-3,-1.118104577E-2,-7.317439556E-2,7.407426791E-2
2.266515000E0,5.464515388E-3,-1.046914726E-2,-8.373212814E-2,8.456082578E-2
2.276490000E0,-1.269225866E-2,-1.783400774E-3,-4.165381014E-2,4.358111802E-2
2.286466000E0,-1.551763326E-2,-5.704835951E-3,-1.858888328E-2,2.487747328E-2
2.296442000E0,4.246043354E-2,-1.398624748E-2,-2.062839210E-2,4.923448076E-2
2.306418000E0,7.558271751E-2,-2.608589083E-2,-2.093127787E-2,8.265191637E-2
2.316394000E0,6.796335697E-2,-1.786265910E-2,-3.672577679E-2,7.928981752E-2
2.326370000E0,3.819488972E-2,-1.929844290E-2,-4.644443393E-2,6.315350301E-2
2.336346000E0,1.411035463E-2,-1.544717431E-2,2.575113773E-3,2.107957573E-2
2.346321000E0,4.337391481E-2,-8.330235779E-3,6.689156234E-2,8.015716079E-2
2.356297000E0,5.557471499E-2,-3.511457652E-2,5.130873263E-2,8.339165710E-2
2.366273000E0,6.331321254E-2,-3.116799831E-2,-7.342348695E-3,7.095010279E-2
2.376249000E0,5.416480511E-2,-5.794853836E-2,-8.934077740E-2,1.194723136E-1
2.386225000E0,7.293948367E-2,-5.655894756E-2,-1.169548380E-1,1.489883115E-1
2.396201000E0,7.966144279E-2,-2.276467234E-2,-8.682647467E-2,1.200125513E-1
2.406176000E0,6.776279747E-2,-4.067001611E-2,-2.441563368E-2,8.271620216E-2
2.416152000E0,3.996893495E-2,-2.374086499E-2,-5.598708987E-2,7.277155120E-2
2.426128000E0,2.396890640E-2,-1.169940144E-2,-1.530789363E-1,1.553851512E-1
2.436104000E0,1.527409673E-2,1.732822359E-3,-1.564498562E-1,1.572032385E-1
2.446080000E0,1.042924002E-2,-2.899926603E-3,-1.631525195E-1,1.635112327E-1
2.456056000E0,-4.629423358E-2,-1.501506507E-2,-2.088362306E-1,2.144322258E-1
2.466032000E0,2.991844833E-2,-1.922009021E-2,-1.360243624E-1,1.405957062E-1
2.476007000E0,1.110637683E-1,-5.451359153E-3,1.036594391E-2,1.116795896E-1
2.485983000E0,7.674236655E-2,5.133270621E-3,-2.181303799E-2,7.994716954E-2
2.495959000E0,4.466191024E-2,5.048778355E-3,-2.134175241E-2,4.975587186E-2
2.505935000E0,3.017090186E-2,3.807268292E-2,-2.251178026E-2,5.354057111E-2
2.515911000E0,-1.462067038E-2,2.793390334E-2,-5.794590712E-3,3.205689067E-2
2.525887000E0,5.098406598E-3,4.372255504E-3,2.948458493E-2,3.023989280E-2
2.535863000E0,-2.034904137E-3,3.473509222E-2,7.253587961E-2,8.044949532E-2
2.545838000E0,-3.468429454E-2,1.540536672E-2,1.305519533E-1,1.359563832E-1
2.555814000E0,-3.285440840E-2,2.164346874E-2,1.086020905E-1,1.155087267E-1
2.565790000E0,-2.074321680E-2,1.649353355E-2,4.277881444E-2,5.032240710E-2
2.575766000E0,-1.166687630E-2,2.296493948E-3,7.350534797E-3,1.397927927E-2
2.585742000E0,-3.903264955E-2,1.942152679E-3,9.498801827E-3,4.021873847E-2
2.595718000E0,-4.674139939E-2,8.633706272E-3,3.810688913E-2,6.092154217E-2
2.605693000E0,-4.382539295E-2,1.817460805E-2,3.766133130E-2,6.057522034E-2
2.615669000E0,-3.824488342E-2,3.290403664E-2,6.059644997E-2,7.884970821E-2
2.625645000E0,-1.851740107E-3,3.869278014E-2,4.356760383E-2,5.829833856E-2
2.635621000E0,9.916877747E-4,2.064564139E-2,-1.855906248E-3,2.075259841E-2
2.645597000E0,1.950017184E-2,6.272892952E-3,3.143813968E-2,3.752282657E-2
2.655573000E0,2.545110248E-2,8.583712578E-4,7.232771873E-2,7.667981688E-2
2.665549000E0,3.688189745E-2,4.765188396E-3,7.064898312E-2,7.983896415E-2
2.675524000E0,2.465734296E-2,-6.225822866E-3,2.909574509E-3,2.559709077E-2
2.685500000E0,5.164326645E-2,-6.857322156E-3,-1.121916962E-1,1.236973182E-1
2.695476000E0,6.371265046E-2,-1.719432235E-2,-1.596073526E-1,1.727120539E-1
2.705452000E0,4.218766093E-2,-1.727618337E-2,-1.714333463E-1,1.773912553E-1
2.715428000E0,2.788032822E-2,-1.395204127E-2,-1.310594916E-1,1.347166007E-1
2.725404000E0,1.662904277E-2,-4.519839227E-2,-6.781659186E-2,8.317758027E-2
2.735379000E0,4.722737610E-2,-6.125163049E-2,-1.299368262E-2,7.842845835E-2
2.745355000E0,7.719267525E-2,-7.744666368E-2,-9.998738766E-5,1.093467184E-1
