"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.334259542E0,-7.103651319E0,2.154252094E0,-6.845785600E-1,7.454616821E0
1.344235542E0,-6.893781885E0,3.443920118E-1,2.486633121E0,7.336632662E0
1.354211542E0,-6.898927435E0,-2.193690248E0,7.113032591E0,1.014902504E1
1.364186542E0,-6.667051420E0,-4.559654088E0,1.104128796E1,1.368027996E1
1.374162542E0,-5.943109989E0,-5.577792912E0,1.209826341E1,1.458767657E1
1.384138542E0,-5.144156967E0,-5.054874077E0,1.028526520E1,1.256187816E1
1.394114542E0,-3.621631766E0,-3.452836391E0,8.374160648E0,9.755247939E0
1.404090542E0,-1.570248713E0,-1.676466456E0,8.713265242E0,9.010949560E0
1.414066542E0,-6.797795308E-1,-1.442758070E0,1.002636101E1,1.015241677E1
1.424041542E0,-7.832923510E-1,-2.693885341E0,1.063405278E1,1.099789269E1
1.434017542E0,-6.310234002E-1,-4.061635329E0,1.058766448E1,1.135753984E1
1.443993542E0,6.233202052E-1,-5.176072825E0,1.066693050E1,1.187281198E1
1.453969542E0,3.056198996E0,-5.995088228E0,1.057841068E1,1.253731261E1
1.463945542E0,5.494286487E0,-5.834973922E0,9.777034568E0,1.264217187E1
1.473921542E0,7.323583226E0,-4.972892021E0,7.526136038E0,1.161926202E1
1.483896542E0,7.473839711E0,-4.305294945E0,4.098704045E0,9.549514094E0
1.493872542E0,6.191021408E0,-3.970121141E0,5.039551449E-1,7.371877559E0
1.503848542E0,4.607507409E0,-3.911215414E0,-2.521293077E0,6.548560858E0
1.513824542E0,3.362137306E0,-4.137891207E0,-4.894561551E0,7.237599303E0
1.523800542E0,2.843191654E0,-4.559549423E0,-6.651511275E0,8.550779612E0
1.533775542E0,2.957023494E0,-4.787168080E0,-7.841077598E0,9.651086160E0
1.543751542E0,3.667051183E0,-4.992139885E0,-8.489916222E0,1.050939591E1
1.553727542E0,4.563812920E0,-5.194043072E0,-8.658452273E0,1.108040015E1
1.563703542E0,5.090267274E0,-4.950777851E0,-8.921359461E0,1.140226630E1
1.573679542E0,5.856268312E0,-4.724754315E0,-9.795858509E0,1.235224780E1
1.583655542E0,5.898015093E0,-4.380022361E0,-1.072438291E1,1.299936793E1
1.593630542E0,5.396091270E0,-3.929258752E0,-1.164395580E1,1.342157152E1
1.603606417E0,5.178066140E0,-3.854783058E0,-1.235071460E1,1.393599198E1
1.613582417E0,5.299672439E0,-3.965974296E0,-1.289567393E1,1.449530566E1
1.623558417E0,5.614113477E0,-3.857482718E0,-1.322627551E1,1.487725804E1
1.633534417E0,5.877762092E0,-3.570530025E0,-1.345582082E1,1.511144883E1
1.643509417E0,5.912580507E0,-3.455461206E0,-1.409684639E1,1.567226527E1
1.653485417E0,5.865287642E0,-3.245186268E0,-1.498912449E1,1.641970420E1
1.663461417E0,5.549324573E0,-3.268146822E0,-1.523835855E1,1.654337807E1
1.673437417E0,5.866846510E0,-3.684334676E0,-1.563534940E1,1.710141401E1
1.683413417E0,6.317158713E0,-4.126809564E0,-1.487955000E1,1.668346666E1
1.693389417E0,6.356923288E0,-4.642809096E0,-1.308950445E1,1.527420299E1
1.703364417E0,6.204629048E0,-4.868742585E0,-1.047708544E1,1.311378646E1
1.713340417E0,6.085398474E0,-4.873059584E0,-7.583643989E0,1.087614088E1
1.723316417E0,6.375289977E0,-5.126874352E0,-2.808656244E0,8.649723280E0
1.733292417E0,8.302605346E0,-5.227231869E0,3.058035314E-2,9.811123468E0
1.743268417E0,1.022205212E1,-5.204676234E0,4.198197343E0,1.221490340E1
1.753243417E0,1.059278313E1,-5.569220894E0,1.033141493E1,1.581016794E1
1.763219417E0,1.003543706E1,-8.097361060E0,1.764559759E1,2.185507647E1
1.773195417E0,8.747219439E0,-1.068844358E1,2.563238078E1,2.911658666E1
1.783171417E0,7.088449727E0,-1.112354542E1,3.065382224E1,3.337118817E1
1.793147417E0,5.059525537E0,-9.243113027E0,3.000901000E1,3.180526086E1
1.803123417E0,3.675066254E0,-6.144656496E0,2.570210298E1,2.668072363E1
1.813098417E0,2.619820122E0,-2.823410524E0,2.060133119E1,2.095829075E1
1.823074417E0,1.073704622E0,-1.494869552E-1,1.640804141E1,1.644381376E1
1.833050417E0,-8.295371756E-1,1.456112526E0,1.373447105E1,1.383633227E1
1.843026417E0,-2.405227016E0,2.415352639E0,1.251033073E1,1.296639581E1
1.853002417E0,-3.977417882E0,2.968710909E0,1.077204473E1,1.186044034E1
1.862977417E0,-5.489349682E0,3.918177401E0,7.705124572E0,1.023982513E1
1.872953417E0,-6.741120440E0,4.822541103E0,4.324917031E0,9.349038175E0
1.882929417E0,-7.679029033E0,5.467024428E0,1.396501039E0,9.529221277E0
1.892905417E0,-8.453056544E0,6.131709006E0,-6.675672555E-1,1.046411326E1
1.902881417E0,-9.110891694E0,6.603790394E0,-2.152247230E0,1.145646382E1
1.912857417E0,-9.691055939E0,6.822906615E0,-3.554119522E0,1.237337405E1
1.922832417E0,-1.032024207E1,6.857681175E0,-4.565508905E0,1.320526634E1
1.932808417E0,-1.073498625E1,6.781141707E0,-5.114048485E0,1.368858300E1
1.942784417E0,-1.066019451E1,6.806834373E0,-5.396054433E0,1.375100522E1
1.952760417E0,-1.046966767E1,6.583169019E0,-5.503478310E0,1.353662916E1
1.962736417E0,-1.040621719E1,5.846835583E0,-5.211129806E0,1.302423573E1
1.972712417E0,-1.034980676E1,5.087022654E0,-5.040652480E0,1.258588403E1
1.982687417E0,-1.006140455E1,4.514595737E0,-5.109113435E0,1.215386672E1
1.992663417E0,-9.613382696E0,3.961735649E0,-5.126246946E0,1.159270822E1
2.002639417E0,-8.969235878E0,3.748119320E0,-5.032658166E0,1.094638017E1
2.012615417E0,-7.953289760E0,3.815696176E0,-4.134621736E0,9.742148234E0
2.022591417E0,-6.891620754E0,3.699265541E0,-2.530201895E0,8.220761752E0
2.032566417E0,-6.316471081E0,3.018136838E0,-2.999843824E-1,7.006921401E0
2.042542417E0,-6.002659203E0,1.317316437E0,2.804024080E0,6.754982690E0
2.052518417E0,-5.937201962E0,-5.258937518E-1,5.970662654E0,8.436571810E0
2.062494417E0,-6.077916377E0,-1.569503193E0,8.310387406E0,1.041474659E1
2.072470417E0,-6.001659914E0,-1.886057708E0,8.821006622E0,1.083454167E1
2.082446417E0,-5.572880666E0,-1.797545335E0,7.880408894E0,9.817790612E0
2.092421417E0,-4.498200436E0,-1.322908129E0,7.371510513E0,8.736307019E0
2.102397417E0,-2.760495945E0,-7.577653809E-1,8.844627619E0,9.296342504E0
2.112373417E0,-4.596170242E-1,-1.188575366E0,1.198249789E1,1.205007116E1
2.122349417E0,1.711791678E0,-2.896141700E0,1.454066176E1,1.492476840E1
2.132325417E0,3.396083609E0,-4.805069623E0,1.561007657E1,1.668222313E1
2.142300417E0,4.631183662E0,-6.282184178E0,1.564557502E1,1.748421339E1
2.152276417E0,5.465816978E0,-6.676281835E0,1.456933884E1,1.693261730E1
2.162252417E0,6.083613319E0,-6.357848318E0,1.236235524E1,1.517433403E1
2.172228417E0,6.489880201E0,-6.034960976E0,9.398292868E0,1.291770908E1
2.182204417E0,6.502349973E0,-5.649336519E0,6.040514077E0,1.052061636E1
2.192180417E0,5.687973751E0,-5.520581415E0,2.824557747E0,8.414748423E0
2.202155417E0,4.469588841E0,-5.604406514E0,2.183525741E-2,7.168477771E0
2.212131417E0,3.322147613E0,-5.829443040E0,-2.093144744E0,7.028536537E0
2.222107417E0,2.738239980E0,-5.959724268E0,-3.596215382E0,7.479908864E0
2.232083417E0,3.006766927E0,-5.710230592E0,-4.667935751E0,7.964735084E0
2.242059417E0,3.990511259E0,-5.510760432E0,-5.629417394E0,8.830798427E0
2.252034417E0,4.917228282E0,-5.520014820E0,-6.706199114E0,9.981122389E0
2.262010417E0,5.166840656E0,-5.398330754E0,-7.680486744E0,1.071578713E1
2.271986417E0,5.469140536E0,-6.205393279E0,-9.318594149E0,1.246012042E1
2.281962417E0,5.375522520E0,-6.576028984E0,-1.080220467E1,1.374147100E1
2.291938417E0,5.295597514E0,-6.334473488E0,-1.197200331E1,1.454296293E1
2.301914417E0,5.424927399E0,-5.986024459E0,-1.272247941E1,1.507062734E1
2.311889417E0,5.910141633E0,-5.566142920E0,-1.328777184E1,1.557166021E1
2.321865417E0,6.560354937E0,-5.239631474E0,-1.360459971E1,1.598677980E1
