"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.196768083E0,4.464441244E-1,1.724146552E-1,-3.247464636E0,3.282539525E0
1.206744083E0,3.953178249E-1,2.510895266E-1,-3.299031231E0,3.332105820E0
1.216720083E0,3.968379548E-1,2.310120884E-1,-3.248015444E0,3.280312679E0
1.226696083E0,3.480803624E-1,2.911834458E-1,-3.002056995E0,3.036164347E0
1.236671083E0,2.462958330E-1,3.758098324E-1,-2.643129171E0,2.681049511E0
1.246647083E0,1.079701526E-1,3.908066250E-1,-2.129201015E0,2.167460342E0
1.256623083E0,7.505193651E-3,3.537235102E-1,-1.649772601E0,1.687283700E0
1.266599083E0,-6.432872772E-2,3.482653902E-1,-1.260580757E0,1.309385662E0
1.276575083E0,-2.166671142E-1,3.737414530E-1,-9.810265464E-1,1.071933019E0
1.286551083E0,-4.163815422E-1,3.657666183E-1,-9.284051138E-1,1.081246902E0
1.296527083E0,-5.308231008E-1,4.858027928E-1,-8.807292563E-1,1.137304507E0
1.306503083E0,-6.013136244E-1,7.006171071E-1,-5.529185593E-1,1.076179046E0
1.316479083E0,-7.094849212E-1,1.005316465E0,-3.891088128E-2,1.231074370E0
1.326455083E0,-9.506830055E-1,1.188918086E0,5.917113268E-1,1.633231976E0
1.336430083E0,-1.260113272E0,1.146138906E0,1.142604411E0,2.051113037E0
1.346406083E0,-1.477411740E0,8.946592243E-1,1.597463409E0,2.352668681E0
1.356382083E0,-1.711857605E0,4.944664295E-1,2.037307928E0,2.706580334E0
1.366358083E0,-1.818737837E0,1.917466100E-1,2.433507074E0,3.044097693E0
1.376334083E0,-1.710258538E0,1.628873848E-1,2.930272483E0,3.396765136E0
1.386310083E0,-1.582970062E0,2.938272643E-1,3.367986276E0,3.733022935E0
1.396286083E0,-1.355099536E0,4.617372977E-1,3.533674148E0,3.812656432E0
1.406262083E0,-1.056041499E0,5.429146311E-1,3.300587760E0,3.507685776E0
1.416238083E0,-8.433282723E-1,4.977564750E-1,2.594288548E0,2.772958195E0
1.426214083E0,-8.732581227E-1,3.251625295E-1,1.561204240E0,1.818149911E0
1.436190333E0,-9.635424945E-1,8.058877464E-2,9.176865828E-1,1.333063147E0
1.446166333E0,-1.112782734E0,-1.194324860E-1,8.138985050E-1,1.383828135E0
1.456142333E0,-1.305061404E0,-2.816926838E-1,8.595915717E-1,1.587902297E0
1.466118333E0,-1.593076974E0,-5.336186912E-1,9.580499125E-1,1.934037949E0
1.476094333E0,-1.719112246E0,-9.470590474E-1,1.454509512E0,2.442921544E0
