"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.884577000E0,-1.777265583E-1,6.404728661E-1,-2.154284400E0,2.254491849E0
1.894553000E0,-1.469480576E-1,4.753020340E-1,-2.041154226E0,2.100908453E0
1.904529000E0,-2.242212783E-1,4.809994148E-1,-1.914981253E0,1.987155962E0
1.914505000E0,-4.885851538E-1,3.512821515E-1,-1.970470744E0,2.060308122E0
1.924481000E0,-7.020396616E-1,3.409121145E-1,-1.979856110E0,2.128123815E0
1.934457000E0,-6.056767436E-1,5.671014194E-1,-2.019492631E0,2.183299985E0
1.944433000E0,-4.500146901E-1,6.111120960E-1,-2.064486955E0,2.199563048E0
1.954409000E0,-1.823517424E-1,8.112277892E-1,-1.844610012E0,2.023345937E0
1.964384000E0,6.870836534E-2,9.202473709E-1,-1.596612055E0,1.844111200E0
1.974360000E0,1.113816923E-1,9.337532696E-1,-1.228740914E0,1.547289657E0
1.984336000E0,2.040892782E-1,1.169893220E0,-7.739778095E-1,1.417513396E0
1.994312000E0,2.208370926E-2,1.001932681E0,-4.947264844E-1,1.117636382E0
2.004288000E0,-3.482251541E-1,9.032623789E-1,1.690213698E-1,9.827064193E-1
2.014264000E0,-5.405957351E-2,1.288608216E0,7.264112949E-1,1.480238812E0
2.024240000E0,-6.436578445E-3,1.060454101E0,7.997149140E-1,1.328212435E0
2.034216000E0,4.998040969E-2,1.087559746E0,1.074907687E0,1.529938161E0
2.044192000E0,2.698714411E-1,1.293924943E0,1.266230922E0,1.830413369E0
2.054168000E0,4.377618497E-1,1.517154534E0,1.363781775E0,2.086454899E0
2.064144000E0,4.580492030E-1,1.549411576E0,1.336381722E0,2.096759741E0
2.074120000E0,4.128075778E-2,1.241250886E0,1.336065972E0,1.824138192E0
2.084096000E0,-5.938625906E-1,8.860319500E-1,1.684496875E0,1.993804182E0
2.094072000E0,-1.258952892E0,3.564717016E-1,2.459749963E0,2.786109176E0
2.104048000E0,-1.504380852E0,-1.963993491E-1,3.500325138E0,3.814971890E0
2.114024000E0,-5.842141000E-1,-6.573635718E-1,5.288222421E0,5.360851551E0
2.124000000E0,2.136643935E0,-1.134975256E-1,7.301328723E0,7.608385513E0
2.133976000E0,8.977075971E-1,-1.238722550E0,5.720325226E0,5.921353998E0
2.143952000E0,1.949695880E0,-6.790943103E-1,6.258769003E0,6.590498656E0
2.153928000E0,1.486322165E0,-9.674896574E-1,5.325501344E0,5.613034329E0
2.163904000E0,9.552932426E-1,-1.181173230E0,4.117098216E0,4.388422621E0
2.173880000E0,9.814808019E-1,-9.734288205E-1,3.142635754E0,3.433224099E0
2.183856000E0,8.480197126E-1,-8.584994580E-1,2.209630635E0,2.517662864E0
2.193832000E0,7.280777514E-1,-6.678259948E-1,1.340266027E0,1.665053091E0
2.203808000E0,5.056548574E-1,-4.538450915E-1,6.285563868E-1,9.256053874E-1
2.213784000E0,2.156728683E-1,-4.405292273E-1,-8.802339971E-2,4.983261031E-1
2.223760000E0,2.516809724E-2,-3.091323513E-1,-6.632338840E-1,7.321717207E-1
2.233736000E0,-1.067884304E-3,-1.682176700E-1,-8.533122468E-1,8.697356584E-1
2.243712000E0,-9.966856822E-2,-3.044459541E-1,-9.883320576E-1,1.038952077E0
2.253688000E0,-9.311679963E-2,-3.178271610E-1,-1.004189122E0,1.057393321E0
2.263664000E0,-8.788737886E-2,-3.689331414E-1,-1.090860645E0,1.154908135E0
2.273640000E0,1.180980418E-2,-4.279830028E-1,-1.371145758E0,1.436436428E0
2.283616000E0,3.020507884E-1,-3.480467409E-1,-1.830345730E0,1.887468332E0
2.293592000E0,5.986214932E-1,-3.292441419E-1,-2.518207501E0,2.609237133E0
2.303568000E0,7.486590734E-1,-3.272113574E-1,-3.261517249E0,3.362298685E0
2.313544000E0,7.611008520E-1,-2.768260463E-1,-3.689057472E0,3.776910404E0
2.323520000E0,6.805726326E-1,-3.460931861E-1,-3.796219393E0,3.872239827E0
2.333495000E0,7.054039302E-1,-3.512287956E-1,-3.598005799E0,3.683286861E0
2.343471000E0,8.417740823E-1,-3.325560048E-1,-3.268185999E0,3.391196960E0
2.353447000E0,9.409709995E-1,-3.193054833E-1,-2.985629243E0,3.146643353E0
2.363423000E0,8.984749711E-1,-2.626687677E-1,-2.805208726E0,2.957270389E0
2.373399000E0,6.932248378E-1,-2.667936860E-1,-2.677705511E0,2.778821036E0
2.383375000E0,5.925874590E-1,-2.182942481E-1,-2.529031282E0,2.606685923E0
2.393351000E0,5.488776217E-1,-1.925191368E-1,-2.353701351E0,2.424508262E0
2.403327000E0,6.413240015E-1,-1.208414823E-1,-2.149697844E0,2.246575163E0
2.413303000E0,6.863316283E-1,3.206759244E-3,-2.028217846E0,2.141198034E0
2.423279000E0,5.173897076E-1,9.462125167E-2,-2.157897395E0,2.221073267E0
2.433255000E0,2.229093824E-1,1.768060604E-1,-2.284176788E0,2.301828094E0
2.443231000E0,4.397778600E-2,2.465567650E-1,-2.335155153E0,2.348547183E0
2.453207000E0,2.408539756E-1,2.687500182E-1,-2.119494637E0,2.149998773E0
2.463183000E0,7.440236201E-1,3.278799865E-1,-1.547209514E0,1.747836867E0
2.473159000E0,1.077701340E0,3.866453809E-1,-7.462047046E-1,1.366658805E0
2.483135000E0,1.296689214E0,4.522324294E-1,-3.190650165E-2,1.373657568E0
2.493111000E0,1.358438589E0,6.473699494E-1,4.607126462E-1,1.573753282E0
2.503087000E0,1.042627329E0,8.415391704E-1,6.644471812E-1,1.495576805E0
2.513063000E0,5.346329273E-1,9.709994486E-1,7.266925460E-1,1.325426102E0
2.523039000E0,1.047791809E-1,9.992862314E-1,9.825117391E-1,1.405304581E0
2.533015000E0,-1.895304056E-1,1.001043612E0,1.487943891E0,1.803326679E0
2.542991000E0,-3.105315169E-1,9.163414308E-1,1.999939542E0,2.221681708E0
2.552967000E0,-3.774697839E-1,7.809487139E-1,2.548269791E0,2.691847555E0
2.562943000E0,-2.500349081E-1,7.318392652E-1,3.009171302E0,3.106962840E0
2.572919000E0,4.542650677E-2,6.819003890E-1,3.482242039E0,3.548670360E0
2.582895000E0,3.063946118E-1,5.668583214E-1,3.873756981E0,3.926983468E0
2.592871000E0,5.086305054E-1,4.835163487E-1,4.084121089E0,4.143976124E0
2.602847000E0,3.885125430E-1,3.630062574E-1,4.199805327E0,4.233329697E0
2.612823000E0,-1.194954532E-1,3.172114491E-3,4.199363278E0,4.201064289E0
2.622799000E0,-6.267327134E-1,-3.487691644E-1,4.135416373E0,4.197154084E0
2.632775000E0,-8.968770732E-1,-5.348375067E-1,4.046186108E0,4.178763174E0
2.642751000E0,-8.033938359E-1,-5.945769010E-1,4.053017995E0,4.174436275E0
2.652727000E0,-3.238858265E-1,-5.792868707E-1,4.071989871E0,4.125721369E0
2.662703000E0,3.029035317E-1,-6.665418001E-1,4.044025562E0,4.109765354E0
2.672679250E0,8.437263215E-1,-7.272889620E-1,4.077801418E0,4.227208032E0
2.682654250E0,1.151369972E0,-7.255185713E-1,3.959714559E0,4.187047814E0
2.692630250E0,1.192585460E0,-6.902391033E-1,3.479254112E0,3.742178413E0
2.702606250E0,9.161897687E-1,-6.058110103E-1,2.633226326E0,2.853119618E0
2.712582250E0,2.177753077E-1,-6.192964438E-1,1.608319350E0,1.737137099E0
2.722558250E0,-4.877272211E-1,-5.932552841E-1,5.346208674E-1,9.357612656E-1
2.732534250E0,-8.714516254E-1,-4.778764169E-1,-5.262704587E-1,1.124613000E0
2.742510250E0,-9.549541041E-1,-4.332719555E-1,-1.430515462E0,1.773706970E0
2.752486250E0,-8.436389787E-1,-3.909148715E-1,-2.132549130E0,2.326436536E0
2.762462250E0,-6.130274977E-1,-3.810685989E-1,-2.600683063E0,2.698993957E0
2.772438250E0,-3.178026026E-1,-3.853133851E-1,-2.747250540E0,2.792284088E0
2.782414250E0,-8.147766106E-2,-4.020175646E-1,-2.684229249E0,2.715390100E0
2.792390250E0,6.082492992E-2,-4.009390457E-1,-2.675560752E0,2.706118462E0
2.802366250E0,3.600203767E-2,-4.702770831E-1,-2.736043766E0,2.776399138E0
2.812342250E0,-2.661937617E-2,-5.070237637E-1,-2.891041759E0,2.935286040E0
2.822318250E0,-7.446728803E-2,-4.916300914E-1,-3.041982368E0,3.082353363E0
2.832294250E0,-3.878392361E-2,-5.294778027E-1,-3.218522088E0,3.262014005E0
2.842270250E0,1.058234571E-1,-4.850676151E-1,-3.322837585E0,3.359723026E0
2.852246250E0,2.147824104E-1,-4.060951205E-1,-3.560995263E0,3.590505813E0
2.862222250E0,2.771083937E-1,-3.194962487E-1,-3.958539269E0,3.981067703E0
2.872198250E0,2.493029464E-1,-2.702053902E-1,-4.201492833E0,4.217547266E0
2.882174250E0,1.853109086E-1,-1.407698165E-1,-4.263584417E0,4.269930720E0
2.892150250E0,2.391675655E-2,-7.964185461E-2,-4.147378607E0,4.148212162E0
2.902126250E0,-2.160460668E-1,-2.439633787E-2,-3.875523425E0,3.881617305E0
2.912102250E0,-4.615441569E-1,5.701006025E-2,-3.572314888E0,3.602458440E0
2.922078250E0,-8.251359033E-1,1.353053011E-1,-3.384359064E0,3.486121492E0
2.932054250E0,-1.034693388E0,2.835804574E-1,-3.269976416E0,3.441475562E0
2.942030250E0,-9.881700897E-1,4.346508752E-1,-3.206760414E0,3.383594813E0
2.952006250E0,-8.537528345E-1,5.435152133E-1,-3.117948225E0,3.278094541E0
2.961982250E0,-7.031554565E-1,6.847732723E-1,-2.797507943E0,2.964690999E0
2.971958250E0,-6.510113029E-1,7.637181388E-1,-2.292702613E0,2.502711806E0
2.981934250E0,-6.188200419E-1,8.119952363E-1,-1.678091251E0,1.964246612E0
2.991910250E0,-6.039161104E-1,8.397130850E-1,-1.058357728E0,1.479849253E0
3.001886250E0,-5.764011601E-1,8.574775109E-1,-5.237918240E-1,1.158388473E0
3.011861250E0,-5.124763653E-1,9.199248970E-1,4.292967260E-2,1.053914986E0
3.021837250E0,-4.734896164E-1,9.165232792E-1,7.147677344E-1,1.255029981E0
3.031813250E0,-4.107796904E-1,9.113907395E-1,1.491159859E0,1.795252283E0
3.041789250E0,-5.006873188E-1,8.943161389E-1,2.264303271E0,2.485469463E0
3.051765250E0,-6.867266808E-1,8.799752578E-1,2.942307807E0,3.146923135E0
3.061741250E0,-1.068704522E0,7.851781511E-1,3.314758487E0,3.570190178E0
3.071717250E0,-1.470900865E0,7.588531092E-1,3.315315726E0,3.705499394E0
3.081693250E0,-1.700476877E0,7.688303594E-1,3.197378556E0,3.702154962E0
3.091669250E0,-1.502062870E0,8.451315536E-1,3.124321690E0,3.568168470E0
3.101645250E0,-9.624190251E-1,9.625211321E-1,3.135260661E0,3.417975529E0
3.111621250E0,-5.521157366E-1,8.587386091E-1,3.090223652E0,3.254496275E0
3.121597250E0,-3.954280815E-1,6.549935491E-1,2.997802561E0,3.093897237E0
